CPB1 SCGB2A2 0.9475950920139504
CCL14 ADCY1 0.9126888883859986
GJB3 KCNK3 0.9343397485996816
GJB3 FAM196B 0.9482872224283144
GJB3 ADCY1 0.9264495847376466
HIF3A LOC100124692 0.9015457169130794
HIF3A TNNI3 0.9107517331431418
CCL28 TNNI2 0.9061704094126074
LOC100124692 DQX1 0.9066079750205364
DNALI1 LOC150622 0.9224173953579914
SUSD3 RGS6 0.9176604278110144
KCNK3 FAM196B 0.9091357263837756
KCNK3 ADCY1 0.922361386740261
FAM196B ADCY1 0.9111829342034636
ALDH3A1 RYR1 0.927118080495172
B4GALNT2 DACT2 0.9495135907215388
ALOX12P2 C10orf93 0.9155430736384428
CRHR1 SPP1 0.9233697364916658
KLK3 C6orf97 0.9509335950505974
ECEL1 LOC284276 0.9048290425148724
ECEL1 CACNA1F 0.931515418182318
ECEL1 GRHL3 0.900567039689134
ECEL1 E2F8 0.9100519913465248
ECEL1 SCN1A 0.9257881304269594
ECEL1 COL4A5 0.9168182922163391
ECEL1 KIAA1045 0.9018020486316716
ECEL1 CCR8 0.9271819787651698
ECEL1 CDC25C 0.9158633647689086
ECEL1 HOXA6 0.9105162080865894
PDZRN4 GALNT14 0.9261213626147884
PDZRN4 TOP2A 0.9040334138065202
PDZRN4 LOC338651 0.9078213680090884
PDZRN4 AMDHD1 0.9048878066330394
PDZRN4 PDE3A 0.9150798097360492
PDZRN4 PLK1 0.9006832907637068
PDZRN4 ROR1 0.9085886145957924
PDZRN4 SSX1 0.9079754067180882
KLHL1 ABCA6 0.9548913578267464
MRAP2 CDH2 0.9004241128345973
HIST1H2BG ACAN 0.9073084133982504
GALNT14 AQP4 0.9227016692311496
GALNT14 FAM101A 0.9123282664192902
GALNT14 PDE11A 0.9088074784934036
GALNT14 TOP2A 0.929094687954277
GALNT14 LOC338651 0.9486265714429232
GALNT14 DMBX1 0.9091285773330317
GALNT14 CSTA 0.9185604322348324
GALNT14 CILP2 0.9127173976894511
GALNT14 GPR1 0.9100895782778868
GALNT14 NRG3 0.9048664462379636
GALNT14 ST8SIA1 0.9078447355348778
GALNT14 AMDHD1 0.9244823880047248
GALNT14 PDE3A 0.9277518091963088
GALNT14 PLK1 0.9358207131791348
GALNT14 ZNF229 0.9089415435242432
GALNT14 ROR1 0.9361086324522122
GALNT14 C12orf53 0.9022451936281692
GALNT14 CSRNP3 0.9301701334494306
GALNT14 C11orf16 0.932006920373202
GALNT14 IL1F5 0.9004053838407245
GALNT14 KLRD1 0.9255773054010348
GALNT14 HIST1H3E 0.912850283484946
GALNT14 P2RY2 0.904229491313038
GALNT14 SSX1 0.9059380498350218
GALNT14 TMCC2 0.9002281338693656
GALNT14 PDLIM3 0.9120819590676148
GALNT14 MYOM3 0.9023884262371112
GALNT14 EPS8L1 0.902136687121284
GALNT14 GPR183 0.9000995815622789
GALNT14 NAP1L3 0.90214596143506
HPSE2 EGR1 0.907168195095971
CSMD3 LOC338651 0.9019903867121092
CSMD3 HOXA11AS 0.912760050333058
SLC6A17 TRAT1 0.9341057397607446
SLC6A17 GPR126 0.9338440526474784
SLC6A17 CACNA1F 0.9021807543847746
SLC6A17 KIAA1045 0.9045662463497788
SLC6A17 CDC25C 0.9168879562978236
SLC6A17 FAM111B 0.9010992935023254
SLC6A17 LMOD1 0.9107625745312916
SLC6A17 PPFIA2 0.9007443860443424
AQP4 TOP2A 0.9037536097694084
AQP4 LOC338651 0.905564478201316
AQP4 GPR1 0.9006515132045423
AQP4 AMDHD1 0.9142788943460296
AQP4 PDE3A 0.9108544323242364
AQP4 PLK1 0.909316682134872
AQP4 ROR1 0.9074295605877551
AQP4 CSRNP3 0.9125226686310088
AQP4 SSX1 0.905127863710624
REEP1 HLA-DQA1 0.9026397971573262
LOC284276 CACNA1F 0.936986037343983
LOC284276 GRHL3 0.93264994951935
LOC284276 SCN1A 0.905102679424781
LOC284276 SLC39A6 0.9100931304898962
LOC284276 PKNOX2 0.9066355711558776
LOC284276 COL4A5 0.922142342456232
LOC284276 PRELP 0.9025138177677892
LOC284276 KIAA1045 0.9073755553405992
LOC284276 CDC25C 0.9102155071018488
LOC284276 BUB1 0.9049968830282964
LOC284276 HOXA6 0.9027424039664718
LOC284276 FAM111B 0.9024060601702528
TRAT1 CACNA1F 0.9093134439311064
TRAT1 E2F8 0.9334647233464916
TRAT1 SCN1A 0.9350821607840496
TRAT1 SYT12 0.9089332888415874
TRAT1 COL4A5 0.911992862071778
TRAT1 FOXP2 0.9090630375851878
TRAT1 KIAA1045 0.9177929769164154
TRAT1 NHLRC4 0.9253020942867396
TRAT1 LASS1 0.916939395552991
TRAT1 CDC25C 0.9457863230186212
TRAT1 NIPAL4 0.9161716486501306
TRAT1 SCN4B 0.9031912830111108
TRAT1 FAM111B 0.926071245572152
TRAT1 PROK1 0.901852808108293
TRAT1 LMOD1 0.9369758484665658
TRAT1 PPFIA2 0.9131375955198708
GPR126 NAT2 0.9170035428036768
C1orf230 FAM101A 0.9214332599261352
C1orf230 AIM2 0.902372627993282
C1orf230 PLAC8 0.91406514915764
C1orf230 MAL 0.9060019392538372
C1orf230 GATA2 0.9152679150296414
C1orf230 RIPK4 0.9078304766583613
C1orf230 CILP2 0.9026835069011784
C1orf230 OASL 0.9029661134743608
C1orf230 ROR1 0.906606850822742
C1orf230 DSCR8 0.918714724839954
C1orf230 LOC134466 0.9203616262176944
C1orf230 NR6A1 0.9052095037359932
C1orf230 EBF1 0.9022136441510512
CACNA1F DPY19L2P1 0.9083006368106732
CACNA1F GRHL3 0.9460654932735488
CACNA1F E2F8 0.923543909526248
CACNA1F RNF182 0.900816623932848
CACNA1F SCN1A 0.938143488533372
CACNA1F SLC39A6 0.925359165209354
CACNA1F LILRB5 0.9159751857239404
CACNA1F PKNOX2 0.9290853423438932
CACNA1F COL4A5 0.9472637367042822
CACNA1F FOXP2 0.9114944918526384
CACNA1F PRELP 0.9304754058568392
CACNA1F LRRN3 0.9209874110666342
CACNA1F KIAA1045 0.924827600954474
CACNA1F LRFN2 0.9053499422835368
CACNA1F LASS1 0.9081249359578965
CACNA1F CCR8 0.9193909022339436
CACNA1F CDC25C 0.9435960632543648
CACNA1F NIPAL4 0.9044826289033102
CACNA1F BUB1 0.9041309387603862
CACNA1F SCN4B 0.90158019869323
CACNA1F HOXA6 0.9247541417481028
CACNA1F FAM111B 0.9250008238145252
CACNA1F LMOD1 0.9095157460232342
CACNA1F MIAT 0.9053450131132386
FAM101A AIM2 0.9007405790068788
FAM101A PDE11A 0.9299181041437214
FAM101A PLAC8 0.9202436689759588
FAM101A MAL 0.901021311081118
FAM101A LOC338651 0.9059382663300748
FAM101A GATA2 0.9188516051909636
FAM101A DMBX1 0.912406545939919
FAM101A RIPK4 0.9234300134935496
FAM101A CILP2 0.9407356641923832
FAM101A WDR65 0.9440911347398876
FAM101A RERG 0.9028537396490608
FAM101A GPR1 0.9273396710566084
FAM101A NRG3 0.9168972170308588
FAM101A CLDN2 0.9156542654046164
FAM101A MAGED4B 0.9079840008341098
FAM101A AMDHD1 0.9337280645720576
FAM101A MCTP2 0.9032010975064508
FAM101A OASL 0.9434824076629762
FAM101A CAPN11 0.9203846071803602
FAM101A PDE3A 0.9288422298935582
FAM101A PLK1 0.934806446557449
FAM101A EIF4E1B 0.9110243625037604
FAM101A NCRNA00160 0.926199034818134
FAM101A ZNF229 0.938545726739194
FAM101A CDH18 0.9298313310880044
FAM101A ROR1 0.9474229497097338
FAM101A C12orf53 0.9014305807404992
FAM101A CSRNP3 0.9330445864150144
FAM101A PRF1 0.9114184487772764
FAM101A LHX1 0.9062836348498536
FAM101A GSTP1 0.9368801064635968
FAM101A MFSD4 0.9050190480948348
FAM101A DSCR8 0.900542075964071
FAM101A IL1F5 0.9103345678394577
FAM101A HIST1H3E 0.908300733068104
FAM101A P2RY2 0.9278798874496056
FAM101A SSX1 0.9019079923915956
FAM101A TMCC2 0.928162917758134
FAM101A ATG9B 0.9126995909015544
FAM101A MS4A7 0.9033838753642016
FAM101A EBF1 0.9389900373956424
FAM101A PTGES 0.906754150831108
FAM101A EPS8L1 0.9059222683536832
FAM101A MDH1B 0.9033999343894474
FAM101A C9orf172 0.9149598322512148
FAM101A KLHDC8A 0.9167757720651668
FAM101A ADAMTS9 0.9037262882486942
DPY19L2P1 GRHL3 0.9370139198392444
DPY19L2P1 SCN1A 0.9000447654505802
DPY19L2P1 SLC39A6 0.9145272334185444
DPY19L2P1 COL4A5 0.9160661548917578
DPY19L2P1 PRELP 0.9349464449732016
DPY19L2P1 LRRN3 0.904558606384724
DPY19L2P1 INHBA 0.9108534525658456
DPY19L2P1 CDC25C 0.9114296820948328
DPY19L2P1 FAM111B 0.9039813703812868
AIM2 PLAC8 0.9591070920854666
AIM2 RIPK4 0.9171632932774778
AIM2 MCTP2 0.9070293564541236
AIM2 OASL 0.9238617353637668
AIM2 CAPN11 0.9103216614639514
AIM2 NCRNA00160 0.9261827707655184
AIM2 ZNF229 0.9107117088896124
AIM2 CDH18 0.905913724677164
AIM2 ROR1 0.906108580730728
AIM2 GSTP1 0.9082265891757968
AIM2 DSCR8 0.942335221430716
AIM2 CCDC114 0.9030320151871832
AIM2 KLHDC8A 0.9056015067006667
PCSK9 LASS1 0.9060144908939742
PCSK9 C20orf26 0.9379310691271636
PCSK9 KCNJ11 0.9146078584961108
PCSK9 SCN4B 0.900684480226008
PCSK9 HS3ST5 0.9361323290377714
PDE11A RIPK4 0.9069494513358036
PDE11A CILP2 0.9203544272522204
PDE11A KLK2 0.903204452300984
PDE11A WDR65 0.928735868864865
PDE11A GPR1 0.91727654801914
PDE11A ST8SIA1 0.9010395416243764
PDE11A AMDHD1 0.9171631942008284
PDE11A OASL 0.9313440742746668
PDE11A CAPN11 0.9141452114205264
PDE11A PDE3A 0.9103252727795134
PDE11A PLK1 0.9322984081291994
PDE11A EIF4E1B 0.9174484324256488
PDE11A NCRNA00160 0.9000081829866768
PDE11A ZNF229 0.9389656885561368
PDE11A ROR1 0.9388322629701952
PDE11A C12orf53 0.9161563946719063
PDE11A CSRNP3 0.9235865261106502
PDE11A GPER 0.9068423407722048
PDE11A GSTP1 0.916296167651558
PDE11A DCDC1 0.9067381490836138
PDE11A IL1F5 0.900006321238206
PDE11A P2RY2 0.9226659777131222
PDE11A TMCC2 0.9256591977579977
PDE11A ATG9B 0.9120792855763298
PDE11A MS4A7 0.9102262626809212
PDE11A EBF1 0.9075686747994794
PDE11A EPS8L1 0.9085032401196956
PDE11A KLHDC8A 0.9019641008447508
GRHL3 E2F8 0.9068213103051282
GRHL3 SCN1A 0.9358358868917648
GRHL3 SLC39A6 0.9494798986733192
GRHL3 LILRB5 0.9204919773435988
GRHL3 PKNOX2 0.925815289357418
GRHL3 COL4A5 0.95315257988417
GRHL3 FOXP2 0.9056295227736468
GRHL3 PRELP 0.946146126800976
GRHL3 LRRN3 0.9390104884099734
GRHL3 KIAA1045 0.926334177732234
GRHL3 LRFN2 0.9201990933330252
GRHL3 INHBA 0.9033683871565714
GRHL3 GZMA 0.9050613677186998
GRHL3 CDC25C 0.9296143927353868
GRHL3 BUB1 0.9301503516218927
GRHL3 ADAMTS5 0.9087345174122636
GRHL3 HOXA6 0.9098003485679064
GRHL3 FAM111B 0.9214741375435876
GRHL3 PROK1 0.9023953483787348
GRHL3 CH25H 0.9038001346221378
GRHL3 ERO1LB 0.9173446752725574
E2F8 SCN1A 0.9742245812754464
E2F8 LILRB5 0.9187074238580898
E2F8 SYT12 0.9318424858636856
E2F8 COL4A5 0.9204294122875226
E2F8 FOXP2 0.9344300737875666
E2F8 PRELP 0.9063126804366534
E2F8 LRRN3 0.9151921962009802
E2F8 KIAA1045 0.9312208552278604
E2F8 NHLRC4 0.9407734305222828
E2F8 LASS1 0.9485201491287903
E2F8 CCR8 0.9258585475134616
E2F8 CDC25C 0.972270024968924
E2F8 C20orf26 0.9224421225690224
E2F8 DCN 0.901806827423324
E2F8 NIPAL4 0.9394561671218196
E2F8 SCN4B 0.9339819876592236
E2F8 CD163L1 0.9171361500894508
E2F8 KLHL31 0.9035971164760296
E2F8 HOXA6 0.9019786684208528
E2F8 FAM111B 0.9304180145723668
E2F8 HS3ST5 0.9095790008316492
E2F8 PROK1 0.9103968304602696
E2F8 LMOD1 0.9389269896801477
E2F8 PPFIA2 0.9025563142130572
E2F8 MIAT 0.9221161702363706
EGR1 GPR97 0.9005577538578091
SCN1A SLC39A6 0.9091403923230056
SCN1A LILRB5 0.9356802317836276
SCN1A SYT12 0.924852907220131
SCN1A PKNOX2 0.9042644961608282
SCN1A COL4A5 0.9441148427668484
SCN1A FOXP2 0.9384978689064284
SCN1A PRELP 0.9362424793975612
SCN1A LRRN3 0.927778602059958
SCN1A KIAA1045 0.9349770298568428
SCN1A NHLRC4 0.9365027884443162
SCN1A LASS1 0.9443182889373136
SCN1A CCR8 0.9292931973647118
SCN1A GZMA 0.9034014777088432
SCN1A CDC25C 0.97737315034356
SCN1A C20orf26 0.9062740655149372
SCN1A NIPAL4 0.9397327146476367
SCN1A BUB1 0.9082870492325692
SCN1A SCN4B 0.9388570610790644
SCN1A CD163L1 0.9131756113031124
SCN1A KLHL31 0.9090648246216696
SCN1A HOXA6 0.917331130091182
SCN1A CACNA2D3 0.9057300267168966
SCN1A FAM111B 0.9402127858014044
SCN1A PROK1 0.9154739672131964
SCN1A LMOD1 0.939027795115984
SCN1A MIAT 0.9282994966192348
PLAC8 WDR86 0.902586422203626
PLAC8 GATA2 0.9111414113393604
PLAC8 RIPK4 0.9217532823473776
PLAC8 CILP2 0.9140793447740722
PLAC8 WDR65 0.9184107153685144
PLAC8 MCTP2 0.9112829680490482
PLAC8 OASL 0.933980411880112
PLAC8 CAPN11 0.9238691782902504
PLAC8 PLK1 0.9016587235519812
PLAC8 NCRNA00160 0.9373773090836752
PLAC8 ZNF229 0.9198680860766122
PLAC8 CDH18 0.9277899107535288
PLAC8 ROR1 0.9158169766321572
PLAC8 GSTP1 0.9246062844292467
PLAC8 DSCR8 0.9520337294067802
PLAC8 HAS2 0.9074711176874388
PLAC8 P2RY2 0.911835532683523
PLAC8 CCDC114 0.907390878332634
PLAC8 TMCC2 0.9023062926703336
PLAC8 ATG9B 0.905681220591936
PLAC8 EBF1 0.9112768607360744
PLAC8 KLHDC8A 0.9198079171710531
SLC39A6 LILRB5 0.9124436310988708
SLC39A6 PKNOX2 0.9107699120073712
SLC39A6 COL4A5 0.9269141653993112
SLC39A6 PRELP 0.9259870042441436
SLC39A6 LRRN3 0.912636352837064
SLC39A6 LRFN2 0.908110506101062
SLC39A6 GZMA 0.9030090826218242
SLC39A6 BUB1 0.9004118043282607
SLC39A6 ADAMTS5 0.9045092878254974
LILRB5 SYT12 0.9296813788934636
LILRB5 COL4A5 0.937048641551358
LILRB5 FOXP2 0.9208193616776236
LILRB5 PRELP 0.9000511699397681
LILRB5 LRRN3 0.9332812099036332
LILRB5 KIAA1045 0.912167177010524
LILRB5 LASS1 0.916235532763954
LILRB5 GZMA 0.9024996582746612
LILRB5 CDC25C 0.9203826446681108
LILRB5 NIPAL4 0.9046745180664364
LILRB5 SCN4B 0.9063837180655372
LILRB5 FAM111B 0.9036696950803284
LILRB5 LMOD1 0.9027230656520376
LILRB5 MIAT 0.9148111085384942
WDR86 NCRNA00160 0.9110654944132888
WDR86 GSTP1 0.9049954104815012
WDR86 EBF1 0.90447465149284
TOP2A LOC338651 0.922521614428452
TOP2A DMBX1 0.9069986530644396
TOP2A CSTA 0.9204112412407748
TOP2A GPR1 0.9054160501001864
TOP2A ST8SIA1 0.9005317956228296
TOP2A AMDHD1 0.91858125196593
TOP2A PDE3A 0.9199452430793472
TOP2A PLK1 0.9097192493453524
TOP2A PLXNC1 0.9251305275236622
TOP2A ROR1 0.9040955566359332
TOP2A CSRNP3 0.9117101200486252
TOP2A C11orf16 0.9056706180197612
TOP2A KLRD1 0.92325714246047
TOP2A HIST1H3E 0.9201216477324008
TOP2A SSX1 0.9042235878164808
MAL GATA2 0.9033752181531376
MAL PLK1 0.9059043474650406
MAL ROR1 0.9004670349720053
LRRC14B AKR1C3 0.9182765049746148
LOC338651 DMBX1 0.9257022370748414
LOC338651 CILP2 0.9022363469277226
LOC338651 GPR1 0.9160107798947916
LOC338651 NRG3 0.9091022987137743
LOC338651 AMDHD1 0.9160551794676344
LOC338651 PDE3A 0.9207193525324574
LOC338651 PLK1 0.9288608581291564
LOC338651 ROR1 0.9160927045744564
LOC338651 CSRNP3 0.9107132570387216
LOC338651 MFSD4 0.919823631458346
LOC338651 C11orf16 0.9126588890133384
LOC338651 KLRD1 0.9275254856106656
LOC338651 HIST1H3E 0.9250947543114876
PDCD1 KCNJ11 0.92410047249557
PDCD1 HS3ST5 0.9057573100581622
SYT12 COL4A5 0.9089339707838974
SYT12 FOXP2 0.9025078081316928
SYT12 LRRN3 0.9127855919345716
SYT12 KIAA1045 0.9032793347938558
SYT12 NHLRC4 0.9148557963806144
SYT12 LASS1 0.9190252115302056
SYT12 CDC25C 0.915020022766992
SYT12 C20orf26 0.9025763132823004
SYT12 NIPAL4 0.9034807033855043
SYT12 LMOD1 0.9072484612266896
PKNOX2 COL4A5 0.9238780997758927
PKNOX2 PRELP 0.9182167600115512
PKNOX2 CDC25C 0.9007818587924524
PKNOX2 HOXA6 0.914788870612812
PKNOX2 FAM111B 0.9032570135366884
COL4A5 FOXP2 0.9097138643037728
COL4A5 PRELP 0.9308151150994082
COL4A5 LRRN3 0.9424495630215536
COL4A5 KIAA1045 0.9147473137049652
COL4A5 LRFN2 0.922042450080554
COL4A5 LASS1 0.9144676312835898
COL4A5 CCR8 0.9124463166425296
COL4A5 GZMA 0.9054567041988067
COL4A5 CDC25C 0.9384782640797972
COL4A5 NIPAL4 0.904014081302424
COL4A5 BUB1 0.9181241228374368
COL4A5 ADAMTS5 0.9053400140595828
COL4A5 SCN4B 0.9063028993958476
COL4A5 KLHL31 0.9012878719803484
COL4A5 HOXA6 0.9153829293326484
COL4A5 FAM111B 0.9240507828363884
COL4A5 PROK1 0.9074071918653543
COL4A5 LMOD1 0.922628480927008
COL4A5 MIAT 0.912296188783322
COL4A5 ERO1LB 0.9140729508711088
GATA2 DMBX1 0.9143497558141144
GATA2 RIPK4 0.9063480891644986
GATA2 CILP2 0.9083278144510706
GATA2 PLK1 0.9139294173629978
GATA2 ROR1 0.9054298168092648
GATA2 MFSD4 0.9006715458490275
GATA2 DSCR8 0.9077128783837516
DMBX1 CILP2 0.9039704963851176
DMBX1 GPR1 0.9273091027769144
DMBX1 AMDHD1 0.9212386080171356
DMBX1 OASL 0.9029007271371646
DMBX1 PDE3A 0.9213840543370392
DMBX1 PLK1 0.924837869438152
DMBX1 ZNF229 0.9033882009794348
DMBX1 ROR1 0.9184864137300844
DMBX1 CSRNP3 0.9032370084361796
DMBX1 STK33 0.9059985496199252
DMBX1 MFSD4 0.9159229719068106
DMBX1 IL1F5 0.910792155595171
DMBX1 HIST1H3E 0.9266540528416828
DMBX1 P2RY2 0.905245218804982
DMBX1 TMCC2 0.9107061088454198
DMBX1 EPS8L1 0.9005378915892648
RIPK4 CILP2 0.9065724691256872
RIPK4 KLK2 0.9070899931492632
RIPK4 WDR65 0.9101890554191489
RIPK4 RERG 0.9017767072187082
RIPK4 GPR1 0.9118095978148753
RIPK4 AMDHD1 0.9039125097640104
RIPK4 OASL 0.922707643885922
RIPK4 CAPN11 0.9152318489909712
RIPK4 PDE3A 0.9051043229872888
RIPK4 PLK1 0.9189950940228216
RIPK4 ZNF229 0.917582980046429
RIPK4 ROR1 0.9270793657127976
RIPK4 CSRNP3 0.901247044821426
RIPK4 GSTP1 0.9159325834280844
RIPK4 DSCR8 0.9156915965926924
RIPK4 P2RY2 0.910528657105368
RIPK4 LOC134466 0.9100624757222444
RIPK4 TMCC2 0.9210057851504896
RIPK4 ATG9B 0.9133612052543382
RIPK4 EBF1 0.9012173312249522
FAM180B CABP4 0.9573068515207268
ECM1 GPR1 0.9029007569148644
ECM1 AMDHD1 0.9055595276147392
ECM1 PLK1 0.9044058684690612
ECM1 CSRNP3 0.9008963620688536
ECM1 IL1F5 0.9126413027317616
ECM1 SSX1 0.9052364374432834
ECM1 LOC389332 0.9004812315115988
FOXP2 PRELP 0.90215668767883
FOXP2 LRRN3 0.9163696048174488
FOXP2 KIAA1045 0.9292040737536622
FOXP2 NHLRC4 0.9165795226985468
FOXP2 LASS1 0.9273353208395017
FOXP2 CDC25C 0.9379415030714192
FOXP2 C20orf26 0.9085049645940312
FOXP2 NIPAL4 0.9320004295575
FOXP2 SCN4B 0.919855077482114
FOXP2 KLHL31 0.9015091818255362
FOXP2 HOXA6 0.9048895028733862
FOXP2 FAM111B 0.9248718763053474
FOXP2 LMOD1 0.9099348973071212
PRELP LRRN3 0.9196159800620544
PRELP KIAA1045 0.9005387419147568
PRELP CDC25C 0.9331823142418556
PRELP BUB1 0.904048137091736
PRELP SCN4B 0.9059352547306682
PRELP HOXA6 0.9048356461214808
PRELP FAM111B 0.91878009457112
LRRN3 KIAA1045 0.9152741079370308
LRRN3 LRFN2 0.909236029683716
LRRN3 LASS1 0.9021801614429784
LRRN3 CDC25C 0.9269261721119932
LRRN3 SCN4B 0.9002095784737989
LRRN3 FAM111B 0.9129912883640732
LRRN3 PROK1 0.9071816498690968
LRRN3 LMOD1 0.9152275694615486
CSTA ST8SIA1 0.9009080782336424
CSTA AMDHD1 0.9524193846542846
CSTA PDE3A 0.9231758398321128
CSTA PLK1 0.907465355192002
CSTA ROR1 0.9017064744923078
CSTA CSRNP3 0.9207967024993058
CSTA STK33 0.9170135267854834
CSTA KLRD1 0.9087068580292024
CSTA HIST1H3E 0.9149709432347064
CSTA SSX1 0.9050001201884408
CSTA EPS8L1 0.9331679673724212
CILP2 WDR65 0.9387768509951464
CILP2 GPR1 0.912962445715658
CILP2 NRG3 0.9252114410842008
CILP2 CLDN2 0.9016204502990852
CILP2 AMDHD1 0.9175887842042753
CILP2 MCTP2 0.9002237545999294
CILP2 OASL 0.931655451216314
CILP2 CAPN11 0.9084746030077286
CILP2 PDE3A 0.9133190391413362
CILP2 PLK1 0.9381490794994856
CILP2 EIF4E1B 0.9105400026782028
CILP2 NCRNA00160 0.9049063270191132
CILP2 ZNF229 0.9321317621751144
CILP2 CDH18 0.9173982984210622
CILP2 ROR1 0.9400315393817844
CILP2 CSRNP3 0.9231698544565192
CILP2 PRF1 0.919390579480414
CILP2 LHX1 0.9103262615559664
CILP2 GSTP1 0.9260755500773922
CILP2 IL1F5 0.906659692406922
CILP2 HIST1H3E 0.900167785973048
CILP2 P2RY2 0.9293462873454672
CILP2 TMCC2 0.9195279921996448
CILP2 ATG9B 0.909274424430439
CILP2 EBF1 0.932521725799874
CILP2 C9orf172 0.90124016057419
CILP2 KLHDC8A 0.9092755292385388
CILP2 ADAMTS9 0.9210524385137924
CILP2 NAP1L3 0.9116088637346056
KIAA1045 NHLRC4 0.9205319814245844
KIAA1045 LASS1 0.9211877465260642
KIAA1045 CDC25C 0.9403887456812038
KIAA1045 C20orf26 0.9016781398945376
